"OrchestrationApplicationCode","ProcessName","DooProcessVersion","CategoryIdTrans","StatusRulesetCode","CatalogCode","CreatedBy","LastUpdatedBy","ParentCategoryIdTrans"
"DOO","ClickShipCollect1","2","@#$","ClickShipCollect1","","SCM_IMPL","SCM_IMPL",""
"DOO","ClickShipCollect1","1","@#$","ClickShipCollect1-Version 1","","SCM_IMPL","SCM_IMPL",""
"DOO","ClickShipCollect4","1","@#$","Copy 1 of ClickShipCollect1","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_GSE_GOP_OrderFulfillmentGenericProcess","1","@#$","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_DS_ShipOrderGenericProcess_Transportation_FINAL","2","@#$","Copy 1 of DOO_Ship_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","ShipOrderGenericProcessIA1","1","@#$","Copy 1 of DOO_Ship_Order_Status_Rule_Set-Version 1","","SCM_IMPL","SCM_IMPL",""
"DOO","ShipOrderGenericProcessIA1","2","@#$","Copy 1 of DOO_Ship_Order_Status_Rule_Set-Version 2","","SCM_IMPL","SCM_IMPL",""
"DOO","ShipOrderProcess1","1","@#$","Copy 1 of Ship Order Status Rule Set","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_ManualSchedulingProcess","1","@#$","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","","SCM_IMPL","SCM_IMPL",""
"DOO","ShipOrderGenericProcessSA1","1","@#$","Copy 2 of Copy 1 of DOO_Ship_Order_Status_Rule_Set-Version 2","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_ReturnOrder_SCG","1","@#$","Copy 2 of DOO_Return_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_DS_DepotRepair_ShipOrderGenericProcess","2","@#$","Copy 2 of DOO_Ship_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_DS_DepotRepair_ShipOrderGenericProcess","1","@#$","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_DS_ShipOrderGenericProcess_Transportation","1","@#$","Copy 3 of DOO_Ship_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_ISG_ShipOrderProcess","1","@#$","Copy 4 of DOO_Ship_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","ClickShipCollect2","2","@#$","Copy of ClickShipCollect1","","SCM_IMPL","SCM_IMPL",""
"DOO","ClickShipCollect2","1","@#$","Copy of ClickShipCollect1-Version 1","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1","@#$","Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","","SCM_IMPL","SCM_IMPL",""
"DOO","ClickShipCollect3","2","@#$","Copy of Copy of ClickShipCollect1","","SCM_IMPL","SCM_IMPL",""
"DOO","ClickShipCollect3","1","@#$","Copy of Copy of ClickShipCollect1-Version 1","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","1","@#$","Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_GSE_PDSC_Asset_OrderFulfillmentGenericProcess","1","@#$","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_GSE_PDSC_Asset_ReturnOrderGenericProcess","1","@#$","Copy of Copy of DOO_Return_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_GSE_Asset_ReturnOrderGenericProcess","1","@#$","Copy of DOO_Return_Order_Status_Rule_Set","","SCM_IMPL","SCM_IMPL",""
"DOO","CustomDOO_CloseOrder","1","@#$","CustomDOO_CloseOrder","","SCM_IMPL","SCM_IMPL",""
"DOO","ManualShipOrderGenericProcess","1","@#$","Manual Ship Order Status Rule Set","","SCM_IMPL","SCM_IMPL",""
"DOO","ShipOrderProcess","1","@#$","ShipOrderProcess","","SCM_IMPL","SCM_IMPL",""
